"ProbeID"	"GeneID"	"GeneSymbol"	"isSingleGeneID"	"Chip"
"1566256_s_at"	"1566256_s_at"	144874	"LOC144874"	TRUE	"HG-U133_PLUS_2"
"212730_at"	"212730_at"	23336	"SYNM"	TRUE	"HG-U133_PLUS_2"
"215523_at"	"215523_at"	346157	"ZNF391"	TRUE	"HG-U133_PLUS_2"
"209077_at"	"209077_at"	25828	"TXN2"	TRUE	"HG-U133_PLUS_2"
"203651_at"	"203651_at"	9765	"ZFYVE16"	TRUE	"HG-U133_PLUS_2"
"223258_s_at"	"223258_s_at"	55632	"KIAA1333"	TRUE	"HG-U133_PLUS_2"
"201438_at"	"201438_at"	1293	"COL6A3"	TRUE	"HG-U133_PLUS_2"
"201599_at"	"201599_at"	4942	"OAT"	TRUE	"HG-U133_PLUS_2"
"1561403_at"	"1561403_at"	402381	"SOHLH1"	TRUE	"HG-U133_PLUS_2"
"206777_s_at"	"206777_s_at"	1415	"CRYBB2"	TRUE	"HG-U133_PLUS_2"
"222655_s_at"	"222655_s_at"	54928	"IMPAD1"	TRUE	"HG-U133_PLUS_2"
"212319_at"	"212319_at"	9905	"SGSM2"	TRUE	"HG-U133_PLUS_2"
"211543_s_at"	"211543_s_at"	2870	"GRK6"	TRUE	"HG-U133_PLUS_2"
"227956_at"	"227956_at"	162073	"ITPRIPL2"	TRUE	"HG-U133_PLUS_2"
"220790_s_at"	"220790_s_at"	64232	"MS4A5"	TRUE	"HG-U133_PLUS_2"
"205907_s_at"	"205907_s_at"	4958	"OMD"	TRUE	"HG-U133_PLUS_2"
"221834_at"	"221834_at"	83752	"LONP2"	TRUE	"HG-U133_PLUS_2"
"204798_at"	"204798_at"	4602	"MYB"	TRUE	"HG-U133_PLUS_2"
"201123_s_at"	"201123_s_at"	1984	"EIF5A"	TRUE	"HG-U133_PLUS_2"
"225102_at"	"225102_at"	11343	"MGLL"	TRUE	"HG-U133_PLUS_2"
"205787_x_at"	"205787_x_at"	9877	"ZC3H11A"	TRUE	"HG-U133_PLUS_2"
"219062_s_at"	"219062_s_at"	54877	"ZCCHC2"	TRUE	"HG-U133_PLUS_2"
"228804_at"	"228804_at"	26220	"DGCR5"	TRUE	"HG-U133_PLUS_2"
"205784_x_at"	"205784_x_at"	421	"ARVCF"	TRUE	"HG-U133_PLUS_2"
"227338_at"	"227338_at"	9967	"THRAP3"	TRUE	"HG-U133_PLUS_2"
"225321_s_at"	"225321_s_at"	29990	"PILRB"	TRUE	"HG-U133_PLUS_2"
"222314_x_at"	"222314_x_at"	100126791	"EGO"	TRUE	"HG-U133_PLUS_2"
"216391_s_at"	"216391_s_at"	57626	"KLHL1"	TRUE	"HG-U133_PLUS_2"
"1553021_s_at"	"1553021_s_at"	23299	"BICD2"	TRUE	"HG-U133_PLUS_2"
"1561292_at"	"1561292_at"	100128434	"LOC100128434"	TRUE	"HG-U133_PLUS_2"
"214906_x_at"	"214906_x_at"	90634	"N4BP2L1"	TRUE	"HG-U133_PLUS_2"
"37079_at"	"37079_at"	11049	"YDD19"	TRUE	"HG-U133_PLUS_2"
"203820_s_at"	"203820_s_at"	10643	"IGF2BP3"	TRUE	"HG-U133_PLUS_2"
"224339_s_at"	"224339_s_at"	9068	"ANGPTL1"	TRUE	"HG-U133_PLUS_2"
"239076_at"	"239076_at"	441220	"-"	TRUE	"HG-U133_PLUS_2"
"229174_at"	"229174_at"	285237	"C3orf38"	TRUE	"HG-U133_PLUS_2"
"227410_at"	"227410_at"	131583	"FAM43A"	TRUE	"HG-U133_PLUS_2"
"239288_at"	"239288_at"	23043	"TNIK"	TRUE	"HG-U133_PLUS_2"
"228297_at"	"228297_at"	1266	"CNN3"	TRUE	"HG-U133_PLUS_2"
"1556167_at"	"1556167_at"	339766	"HEATR7B1"	TRUE	"HG-U133_PLUS_2"
"210239_at"	"210239_at"	10265	"IRX5"	TRUE	"HG-U133_PLUS_2"
"1559746_a_at"	"1559746_a_at"	255403	"ZNF718"	TRUE	"HG-U133_PLUS_2"
"216442_x_at"	"216442_x_at"	2335	"FN1"	TRUE	"HG-U133_PLUS_2"
"222420_s_at"	"222420_s_at"	7328	"UBE2H"	TRUE	"HG-U133_PLUS_2"
"224880_at"	"224880_at"	5898	"RALA"	TRUE	"HG-U133_PLUS_2"
"230677_at"	"230677_at"	91828	"C14orf73"	TRUE	"HG-U133_PLUS_2"
"237755_s_at"	"237755_s_at"	146845	"WDR16"	TRUE	"HG-U133_PLUS_2"
"226275_at"	"226275_at"	4084	"MXD1"	TRUE	"HG-U133_PLUS_2"
"1555468_at"	"1555468_at"	8828	"NRP2"	TRUE	"HG-U133_PLUS_2"
"201311_s_at"	"201311_s_at"	6451	"SH3BGRL"	TRUE	"HG-U133_PLUS_2"
"207182_at"	"207182_at"	2559	"GABRA6"	TRUE	"HG-U133_PLUS_2"
"221291_at"	"221291_at"	80328	"ULBP2"	TRUE	"HG-U133_PLUS_2"
"1553451_at"	"1553451_at"	283847	"CCDC79"	TRUE	"HG-U133_PLUS_2"
"235966_at"	"235966_at"	153090	"DAB2IP"	TRUE	"HG-U133_PLUS_2"
"210188_at"	"210188_at"	2551	"GABPA"	TRUE	"HG-U133_PLUS_2"
"1557218_s_at"	"1557218_s_at"	2187	"FANCB"	TRUE	"HG-U133_PLUS_2"
"228350_at"	"228350_at"	201294	"UNC13D"	TRUE	"HG-U133_PLUS_2"
"203659_s_at"	"203659_s_at"	10206	"TRIM13"	TRUE	"HG-U133_PLUS_2"
"1556405_s_at"	"1556405_s_at"	374890	"LOC374890"	TRUE	"HG-U133_PLUS_2"
"220295_x_at"	"220295_x_at"	55635	"DEPDC1"	TRUE	"HG-U133_PLUS_2"
"225910_at"	"225910_at"	9931	"HELZ"	TRUE	"HG-U133_PLUS_2"
"225077_at"	"225077_at"	1106	"CHD2"	TRUE	"HG-U133_PLUS_2"
"201306_s_at"	"201306_s_at"	10541	"ANP32B"	TRUE	"HG-U133_PLUS_2"
"219734_at"	"219734_at"	54847	"SIDT1"	TRUE	"HG-U133_PLUS_2"
"225275_at"	"225275_at"	10085	"EDIL3"	TRUE	"HG-U133_PLUS_2"
"1560399_a_at"	"1560399_a_at"	161725	"OTUD7A"	TRUE	"HG-U133_PLUS_2"
"217941_s_at"	"217941_s_at"	55914	"ERBB2IP"	TRUE	"HG-U133_PLUS_2"
"205271_s_at"	"205271_s_at"	23552	"CCRK"	TRUE	"HG-U133_PLUS_2"
"226491_x_at"	"226491_x_at"	5725	"PTBP1"	TRUE	"HG-U133_PLUS_2"
"216673_at"	"216673_at"	50858	"TTTY1"	TRUE	"HG-U133_PLUS_2"
"228086_at"	"228086_at"	65975	"STK33"	TRUE	"HG-U133_PLUS_2"
"202546_at"	"202546_at"	8673	"VAMP8"	TRUE	"HG-U133_PLUS_2"
"214952_at"	"214952_at"	4684	"NCAM1"	TRUE	"HG-U133_PLUS_2"
"233536_at"	"233536_at"	80816	"ASXL3"	TRUE	"HG-U133_PLUS_2"
"201267_s_at"	"201267_s_at"	5702	"PSMC3"	TRUE	"HG-U133_PLUS_2"
"222124_at"	"222124_at"	64344	"HIF3A"	TRUE	"HG-U133_PLUS_2"
"1557406_s_at"	"1557406_s_at"	283697	"LOC283697"	TRUE	"HG-U133_PLUS_2"
"1569246_a_at"	"1569246_a_at"	203076	"C8orf74"	TRUE	"HG-U133_PLUS_2"
"206720_at"	"206720_at"	4249	"MGAT5"	TRUE	"HG-U133_PLUS_2"
"242138_at"	"242138_at"	1745	"DLX1"	TRUE	"HG-U133_PLUS_2"
"204289_at"	"204289_at"	4329	"ALDH6A1"	FALSE	"HG-U133_PLUS_2"
"201363_s_at"	"201363_s_at"	10625	"IVNS1ABP"	TRUE	"HG-U133_PLUS_2"
"1560694_at"	"1560694_at"	113402	"SFT2D1"	TRUE	"HG-U133_PLUS_2"
"210484_s_at"	"210484_s_at"	8794	"TNFRSF10C"	TRUE	"HG-U133_PLUS_2"
"1566735_at"	"1566735_at"	728716	"hCG_2036596"	TRUE	"HG-U133_PLUS_2"
"223681_s_at"	"223681_s_at"	10207	"INADL"	TRUE	"HG-U133_PLUS_2"
"222800_at"	"222800_at"	54952	"TRNAU1AP"	TRUE	"HG-U133_PLUS_2"
"221554_at"	"221554_at"	92335	"STRADA"	TRUE	"HG-U133_PLUS_2"
"218017_s_at"	"218017_s_at"	138050	"HGSNAT"	TRUE	"HG-U133_PLUS_2"
"219200_at"	"219200_at"	79072	"FASTKD3"	TRUE	"HG-U133_PLUS_2"
"205430_at"	"205430_at"	653	"BMP5"	TRUE	"HG-U133_PLUS_2"
"230212_at"	"230212_at"	10252	"SPRY1"	TRUE	"HG-U133_PLUS_2"
